 iter    JT            dJT           ga_int        dt
  229    0.02860555    0.00019110    0.00361620    2.37
  230    0.02841650    0.00018905    0.00359773    2.43
  231    0.02822946    0.00018704    0.00357950    2.36
  232    0.02804439    0.00018507    0.00356150    2.35
  233    0.02786125    0.00018314    0.00354372    2.37
  234    0.02768001    0.00018124    0.00352615    2.38
  235    0.02750064    0.00017938    0.00350881    2.37
  236    0.02732309    0.00017755    0.00349168    2.40
  237    0.02714734    0.00017575    0.00347474    2.41
  238    0.02697336    0.00017398    0.00345802    2.43
  239    0.02680111    0.00017225    0.00344148    2.37
  240    0.02663056    0.00017055    0.00342515    2.38
  241    0.02646169    0.00016887    0.00340902    2.38
  242    0.02629446    0.00016723    0.00339307    2.43
  243    0.02612885    0.00016561    0.00337730    2.42
  244    0.02596483    0.00016402    0.00336174    2.43
  245    0.02580237    0.00016246    0.00334636    2.42
  246    0.02564144    0.00016092    0.00333115    2.38
  247    0.02548203    0.00015941    0.00331613    2.42
  248    0.02532411    0.00015792    0.00330126    2.33
  249    0.02516765    0.00015646    0.00328656    2.39
  250    0.02501263    0.00015502    0.00327200    2.38
  251    0.02485902    0.00015361    0.00325762    2.32
  252    0.02470681    0.00015221    0.00324338    2.17
  253    0.02455596    0.00015084    0.00322929    2.34
  254    0.02440647    0.00014949    0.00321537    2.16
  255    0.02425831    0.00014816    0.00320159    2.20
  256    0.02411145    0.00014685    0.00318795    2.32
  257    0.02396589    0.00014557    0.00317445    1.98
  258    0.02382159    0.00014430    0.00316110    2.13
  259    0.02367855    0.00014305    0.00314788    2.17
  260    0.02353673    0.00014181    0.00313480    2.05
  261    0.02339613    0.00014060    0.00312186    2.05
  262    0.02325673    0.00013940    0.00310906    2.10
  263    0.02311850    0.00013823    0.00309639    2.10
  264    0.02298143    0.00013706    0.00308385    2.21
  265    0.02284551    0.00013592    0.00307143    2.18
  266    0.02271072    0.00013479    0.00305914    1.97
  267    0.02257705    0.00013368    0.00304697    2.08
  268    0.02244447    0.00013258    0.00303491    2.02
  269    0.02231297    0.00013150    0.00302296    2.27
  270    0.02218254    0.00013043    0.00301112    2.24
  271    0.02205316    0.00012938    0.00299939    2.13
  272    0.02192482    0.00012834    0.00298777    2.35
  273    0.02179751    0.00012731    0.00297624    2.24
  274    0.02167121    0.00012630    0.00296483    2.41
  275    0.02154590    0.00012530    0.00295353    2.38
  276    0.02142159    0.00012432    0.00294233    2.47
  277    0.02129824    0.00012335    0.00293123    2.36
  278    0.02117585    0.00012239    0.00292022    2.43
  279    0.02105442    0.00012144    0.00290930    2.44
  280    0.02093391    0.00012050    0.00289849    2.44
  281    0.02081434    0.00011958    0.00288776    2.46
  282    0.02069567    0.00011867    0.00287714    2.41
  283    0.02057791    0.00011776    0.00286660    2.42
  284    0.02046103    0.00011687    0.00285615    2.45
  285    0.02034504    0.00011599    0.00284578    2.44
  286    0.02022991    0.00011513    0.00283551    2.38
  287    0.02011565    0.00011427    0.00282533    2.26
  288    0.02000223    0.00011342    0.00281522    2.30
  289    0.01988965    0.00011258    0.00280520    2.30
  290    0.01977790    0.00011175    0.00279527    2.23
